,V0207,V2020,V02426,V4621,faixas,Internet_Banda_Larga,Telefone_fixo
2,Alugado,Não,Sim,1150.0,+1000,Sim,Não
3,Próprio-Já Pago,Sim,Sim,793.0,800,Sim,Sim
5,Próprio-Já Pago,Sim,Sim,1990.0,+1000,Sim,Sim
8,Alugado,Sim,Sim,818.0,900,Sim,Sim
10,Próprio-Já Pago,Sim,Sim,1716.0,+1000,Sim,Sim
11,Próprio-Já Pago,Sim,Sim,2500.0,+1000,Sim,Sim
13,Alugado,Não,Sim,1400.0,+1000,Sim,Não
15,Alugado,Não,Sim,666.0,700,Sim,Não
17,Próprio-Já Pago,Sim,Sim,750.0,800,Sim,Sim
18,Próprio-Já Pago,Sim,Sim,1437.0,+1000,Sim,Sim
19,Próprio-Já Pago,Não,Não,600.0,700,Não,Não
20,Próprio-Já Pago,Sim,Sim,933.0,1000,Sim,Sim
23,Próprio-Ainda Pagando,Sim,Sim,2666.0,+1000,Sim,Sim
27,Próprio-Já Pago,Sim,Sim,3325.0,+1000,Sim,Sim
28,Próprio-Já Pago,Sim,Sim,3500.0,+1000,Sim,Sim
29,Alugado,Não,Sim,1172.0,+1000,Sim,Não
31,Próprio-Já Pago,Não,Sim,3000.0,+1000,Sim,Não
32,Alugado,Não,Não,366.0,400,Não,Não
33,Próprio-Já Pago,Não,Não,175.0,200,Não,Não
37,Alugado,Sim,Não,596.0,600,Não,Sim
39,Alugado,Não,Não,196.0,200,Não,Não
42,Próprio-Já Pago,Sim,Não,975.0,1000,Não,Sim
43,Alugado,Não,Não,850.0,900,Não,Não
44,Próprio-Já Pago,Não,Não,2000.0,+1000,Não,Não
45,Alugado,Sim,Não,480.0,500,Não,Sim
50,Próprio-Já Pago,Sim,Não,666.0,700,Não,Sim
54,Alugado,Não,Não,2100.0,+1000,Não,Não
66,Próprio-Já Pago,Não,Não,635.0,700,Não,Não
71,Próprio-Já Pago,Sim,Sim,550.0,600,Sim,Sim
72,Próprio-Já Pago,Não,Não,590.0,600,Não,Não
73,Próprio-Já Pago,Não,Não,2800.0,+1000,Não,Não
74,Próprio-Já Pago,Sim,Sim,625.0,700,Sim,Sim
76,Próprio-Já Pago,Não,Não,1500.0,+1000,Não,Não
77,Alugado,Não,Não,837.0,900,Não,Não
78,Próprio-Já Pago,Sim,Sim,675.0,700,Sim,Sim
79,Próprio-Já Pago,Sim,Sim,1766.0,+1000,Sim,Sim
80,Cedido de outra forma,Não,Sim,2900.0,+1000,Sim,Não
85,Próprio-Já Pago,Não,Sim,617.0,700,Sim,Não
87,Próprio-Já Pago,Não,Sim,184.0,200,Sim,Não
93,Próprio-Já Pago,Sim,Sim,512.0,600,Sim,Sim
94,Próprio-Já Pago,Sim,Sim,833.0,900,Sim,Sim
96,Próprio-Já Pago,Não,Não,490.0,500,Não,Não
97,Próprio-Já Pago,Não,Sim,232.0,300,Sim,Não
102,Próprio-Já Pago,Não,Sim,530.0,600,Sim,Não
105,Próprio-Já Pago,Não,Não,505.0,600,Não,Não
110,Próprio-Já Pago,Não,Não,250.0,300,Não,Não
111,Alugado,Não,Sim,280.0,300,Sim,Não
112,Próprio-Ainda Pagando,Não,Não,1250.0,+1000,Não,Não
113,Próprio-Já Pago,Não,Não,2125.0,+1000,Não,Não
116,Próprio-Já Pago,Não,Sim,800.0,900,Sim,Não
117,Próprio-Já Pago,Não,Sim,342.0,400,Sim,Não
119,Alugado,Não,Não,197.0,200,Não,Não
120,Próprio-Já Pago,Não,Sim,647.0,700,Sim,Não
124,Próprio-Já Pago,Não,Não,694.0,700,Não,Não
132,Próprio-Já Pago,Não,Sim,821.0,900,Sim,Não
134,Cedido de outra forma,Não,Sim,241.0,300,Sim,Não
139,Próprio-Ainda Pagando,Não,Não,433.0,500,Não,Não
140,Próprio-Já Pago,Não,Sim,440.0,500,Sim,Não
142,Alugado,Não,Sim,692.0,700,Sim,Não
143,Alugado,Não,Sim,1420.0,+1000,Sim,Não
144,Próprio-Já Pago,Não,Não,1300.0,+1000,Não,Não
152,Alugado,Não,Não,787.0,800,Não,Não
157,Próprio-Já Pago,Não,Não,1010.0,+1000,Não,Não
160,Alugado,Não,Sim,900.0,1000,Sim,Não
161,Próprio-Já Pago,Sim,Sim,187.0,200,Sim,Sim
167,Próprio-Já Pago,Não,Sim,1095.0,+1000,Sim,Não
169,Cedido de outra forma,Não,Não,222.0,300,Não,Não
170,Alugado,Não,Não,550.0,600,Não,Não
175,Cedido de outra forma,Não,Sim,120.0,200,Sim,Não
176,Próprio-Já Pago,Sim,Sim,1925.0,+1000,Sim,Sim
179,Próprio-Já Pago,Não,Sim,497.0,500,Sim,Não
180,Próprio-Já Pago,Não,Sim,1050.0,+1000,Sim,Não
181,Alugado,Não,Sim,697.0,700,Sim,Não
186,Próprio-Já Pago,Não,Sim,528.0,600,Sim,Não
189,Próprio-Já Pago,Não,Sim,900.0,1000,Sim,Não
191,Próprio-Já Pago,Sim,Sim,6000.0,+1000,Sim,Sim
197,Cedido de outra forma,Não,Sim,297.0,300,Sim,Não
205,Alugado,Não,Não,547.0,600,Não,Não
207,Próprio-Já Pago,Não,Sim,1829.0,+1000,Sim,Não
211,Cedido por Empregador,Não,Não,116.0,200,Não,Não
229,Próprio-Já Pago,Sim,Sim,4317.0,+1000,Sim,Sim
230,Alugado,Não,Sim,733.0,800,Sim,Não
232,Próprio-Já Pago,Não,Sim,3000.0,+1000,Sim,Não
237,Próprio-Já Pago,Não,Sim,1600.0,+1000,Sim,Não
240,Próprio-Já Pago,Sim,Sim,1230.0,+1000,Sim,Sim
243,Próprio-Já Pago,Sim,Sim,3133.0,+1000,Sim,Sim
244,Alugado,Sim,Sim,2000.0,+1000,Sim,Sim
245,Próprio-Já Pago,Sim,Não,875.0,900,Não,Sim
247,Próprio-Já Pago,Sim,Não,850.0,900,Não,Sim
249,Próprio-Já Pago,Não,Sim,1125.0,+1000,Sim,Não
250,Alugado,Não,Sim,1150.0,+1000,Sim,Não
255,Próprio-Já Pago,Não,Sim,999999999999.0,+1000,Sim,Não
257,Próprio-Já Pago,Sim,Não,1080.0,+1000,Não,Sim
264,Alugado,Não,Sim,876.0,900,Sim,Não
272,Próprio-Já Pago,Sim,Sim,808.0,900,Sim,Sim
274,Alugado,Não,Não,1575.0,+1000,Não,Não
277,Alugado,Não,Não,2000.0,+1000,Não,Não
278,Próprio-Ainda Pagando,Sim,Sim,950.0,1000,Sim,Sim
280,Próprio-Já Pago,Não,Não,4000.0,+1000,Não,Não
284,Próprio-Ainda Pagando,Sim,Sim,2200.0,+1000,Sim,Sim
285,Alugado,Sim,Sim,907.0,1000,Sim,Sim
286,Próprio-Já Pago,Não,Não,1550.0,+1000,Não,Não
293,Cedido de outra forma,Não,Não,759.0,800,Não,Não
294,Próprio-Já Pago,Não,Sim,309.0,400,Sim,Não
297,Próprio-Já Pago,Não,Sim,1700.0,+1000,Sim,Não
298,Próprio-Já Pago,Não,Não,500.0,600,Não,Não
300,Próprio-Já Pago,Não,Sim,197.0,200,Sim,Não
303,Alugado,Sim,Sim,3000.0,+1000,Sim,Sim
304,Próprio-Já Pago,Não,Sim,375.0,400,Sim,Não
306,Próprio-Já Pago,Não,Sim,644.0,700,Sim,Não
308,Próprio-Já Pago,Não,Sim,1788.0,+1000,Sim,Não
309,Cedido de outra forma,Sim,Não,600.0,700,Não,Sim
318,Próprio-Ainda Pagando,Não,Sim,2150.0,+1000,Sim,Não
319,Alugado,Não,Não,1800.0,+1000,Não,Não
321,Próprio-Já Pago,Não,Não,900.0,1000,Não,Não
323,Próprio-Já Pago,Não,Sim,677.0,700,Sim,Não
325,Próprio-Ainda Pagando,Sim,Sim,744.0,800,Sim,Sim
329,Próprio-Já Pago,Não,Sim,683.0,700,Sim,Não
330,Próprio-Já Pago,Não,Não,13666.0,+1000,Não,Não
333,Próprio-Ainda Pagando,Não,Sim,1950.0,+1000,Sim,Não
339,Alugado,Não,Sim,999999999999.0,+1000,Sim,Não
341,Próprio-Ainda Pagando,Não,Sim,2197.0,+1000,Sim,Não
342,Próprio-Já Pago,Não,Sim,800.0,900,Sim,Não
343,Alugado,Não,Sim,829.0,900,Sim,Não
345,Alugado,Não,Não,133.0,200,Não,Não
347,Alugado,Não,Não,331.0,400,Não,Não
349,Próprio-Já Pago,Não,Sim,400.0,500,Sim,Não
350,Próprio-Já Pago,Não,Sim,2110.0,+1000,Sim,Não
355,Próprio-Já Pago,Sim,Sim,3125.0,+1000,Sim,Sim
356,Próprio-Já Pago,Sim,Sim,922.0,1000,Sim,Sim
357,Próprio-Já Pago,Não,Não,1666.0,+1000,Não,Não
392,Próprio-Já Pago,Não,Sim,2096.0,+1000,Sim,Não
396,Próprio-Já Pago,Não,Sim,5000.0,+1000,Sim,Não
401,Próprio-Já Pago,Não,Sim,2075.0,+1000,Sim,Não
403,Próprio-Já Pago,Não,Sim,1500.0,+1000,Sim,Não
406,Próprio-Ainda Pagando,Sim,Sim,1737.0,+1000,Sim,Sim
409,Próprio-Já Pago,Não,Sim,966.0,1000,Sim,Não
411,Próprio-Já Pago,Sim,Sim,1250.0,+1000,Sim,Sim
412,Próprio-Já Pago,Não,Sim,400.0,500,Sim,Não
419,Próprio-Já Pago,Não,Não,600.0,700,Não,Não
421,Próprio-Já Pago,Sim,Sim,4666.0,+1000,Sim,Sim
422,Próprio-Já Pago,Sim,Sim,1100.0,+1000,Sim,Sim
427,Próprio-Já Pago,Não,Sim,2466.0,+1000,Sim,Não
440,Próprio-Já Pago,Não,Sim,575.0,600,Sim,Não
442,Cedido de outra forma,Não,Não,933.0,1000,Não,Não
444,Cedido de outra forma,Não,Sim,325.0,400,Sim,Não
445,Próprio-Já Pago,Não,Sim,1233.0,+1000,Sim,Não
446,Próprio-Ainda Pagando,Não,Não,1075.0,+1000,Não,Não
453,Cedido de outra forma,Não,Sim,999999999999.0,+1000,Sim,Não
455,Próprio-Já Pago,Não,Sim,1144.0,+1000,Sim,Não
456,Próprio-Já Pago,Não,Não,494.0,500,Não,Não
457,Próprio-Já Pago,Não,Sim,833.0,900,Sim,Não
458,Próprio-Já Pago,Não,Não,1088.0,+1000,Não,Não
461,Próprio-Já Pago,Não,Não,455.0,500,Não,Não
466,Próprio-Já Pago,Não,Não,340.0,400,Não,Não
469,Alugado,Não,Não,1920.0,+1000,Não,Não
478,Alugado,Não,Sim,553.0,600,Sim,Não
480,Próprio-Já Pago,Sim,Sim,327.0,400,Sim,Sim
484,Próprio-Já Pago,Não,Sim,1194.0,+1000,Sim,Não
486,Próprio-Já Pago,Não,Não,679.0,700,Não,Não
488,Alugado,Não,Não,476.0,500,Não,Não
489,Próprio-Já Pago,Não,Sim,2364.0,+1000,Sim,Não
491,Alugado,Não,Não,966.0,1000,Não,Não
493,Cedido de outra forma,Não,Sim,578.0,600,Sim,Não
505,Cedido por Empregador,Não,Não,800.0,900,Não,Não
525,Próprio-Já Pago,Sim,Não,394.0,400,Não,Sim
535,Próprio-Já Pago,Sim,Sim,762.0,800,Sim,Sim
536,Próprio-Já Pago,Sim,Sim,316.0,400,Sim,Sim
538,Próprio-Já Pago,Sim,Sim,1500.0,+1000,Sim,Sim
540,Próprio-Já Pago,Não,Sim,535.0,600,Sim,Não
550,Próprio-Já Pago,Não,Sim,529.0,600,Sim,Não
552,Próprio-Já Pago,Não,Sim,300.0,400,Sim,Não
561,Próprio-Já Pago,Sim,Sim,600.0,700,Sim,Sim
567,Próprio-Já Pago,Não,Sim,388.0,400,Sim,Não
589,Alugado,Não,Sim,366.0,400,Sim,Não
592,Próprio-Já Pago,Sim,Sim,999999999999.0,+1000,Sim,Sim
594,Próprio-Já Pago,Não,Não,983.0,1000,Não,Não
596,Próprio-Já Pago,Não,Sim,1560.0,+1000,Sim,Não
598,Alugado,Não,Sim,1894.0,+1000,Sim,Não
600,Próprio-Já Pago,Sim,Sim,1850.0,+1000,Sim,Sim
601,Alugado,Sim,Sim,2125.0,+1000,Sim,Sim
603,Alugado,Não,Sim,1125.0,+1000,Sim,Não
608,Próprio-Já Pago,Não,Não,1175.0,+1000,Não,Não
611,Alugado,Não,Não,200.0,300,Não,Não
612,Alugado,Não,Não,916.0,1000,Não,Não
613,Alugado,Não,Não,373.0,400,Não,Não
614,Próprio-Já Pago,Sim,Sim,497.0,500,Sim,Sim
617,Alugado,Não,Não,504.0,600,Não,Não
618,Cedido de outra forma,Sim,Sim,701.0,800,Sim,Sim
619,Próprio-Já Pago,Não,Sim,880.0,900,Sim,Não
620,Próprio-Já Pago,Não,Não,166.0,200,Não,Não
621,Próprio-Já Pago,Não,Sim,1500.0,+1000,Sim,Não
622,Próprio-Já Pago,Não,Sim,207.0,300,Sim,Não
625,Próprio-Já Pago,Sim,Sim,821.0,900,Sim,Sim
626,Próprio-Já Pago,Sim,Sim,1200.0,+1000,Sim,Sim
628,Próprio-Já Pago,Não,Não,412.0,500,Não,Não
629,Próprio-Ainda Pagando,Sim,Sim,1566.0,+1000,Sim,Sim
631,Alugado,Não,Não,311.0,400,Não,Não
632,Próprio-Já Pago,Não,Não,1500.0,+1000,Não,Não
635,Próprio-Já Pago,Não,Sim,625.0,700,Sim,Não
636,Próprio-Já Pago,Não,Sim,846.0,900,Sim,Não
637,Próprio-Ainda Pagando,Não,Sim,500.0,600,Sim,Não
638,Próprio-Já Pago,Sim,Sim,1433.0,+1000,Sim,Sim
639,Próprio-Já Pago,Sim,Sim,250.0,300,Sim,Sim
640,Próprio-Já Pago,Não,Sim,729.0,800,Sim,Não
642,Alugado,Não,Não,1394.0,+1000,Não,Não
643,Próprio-Já Pago,Não,Sim,1400.0,+1000,Sim,Não
646,Próprio-Já Pago,Sim,Sim,1200.0,+1000,Sim,Sim
647,Alugado,Não,Não,950.0,1000,Não,Não
648,Próprio-Já Pago,Não,Sim,433.0,500,Sim,Não
672,Próprio-Já Pago,Não,Não,2600.0,+1000,Não,Não
674,Próprio-Já Pago,Não,Não,788.0,800,Não,Não
675,Próprio-Já Pago,Não,Não,388.0,400,Não,Não
676,Alugado,Não,Não,500.0,600,Não,Não
678,Próprio-Já Pago,Sim,Não,3600.0,+1000,Não,Sim
681,Próprio-Já Pago,Sim,Não,2800.0,+1000,Não,Sim
683,Próprio-Já Pago,Não,Não,197.0,200,Não,Não
685,Alugado,Não,Não,1200.0,+1000,Não,Não
686,Próprio-Já Pago,Não,Sim,497.0,500,Sim,Não
689,Próprio-Já Pago,Sim,Não,1150.0,+1000,Não,Sim
690,Próprio-Já Pago,Não,Sim,525.0,600,Sim,Não
691,Próprio-Já Pago,Não,Sim,1650.0,+1000,Sim,Não
693,Alugado,Não,Sim,1550.0,+1000,Sim,Não
694,Próprio-Já Pago,Sim,Sim,1400.0,+1000,Sim,Sim
696,Alugado,Sim,Sim,210.0,300,Sim,Sim
701,Próprio-Já Pago,Sim,Sim,500.0,600,Sim,Sim
703,Alugado,Sim,Sim,1375.0,+1000,Sim,Sim
705,Próprio-Já Pago,Não,Sim,1175.0,+1000,Sim,Não
709,Próprio-Já Pago,Sim,Sim,1300.0,+1000,Sim,Sim
710,Alugado,Sim,Sim,1000.0,+1000,Sim,Sim
711,Alugado,Sim,Sim,7800.0,+1000,Sim,Sim
715,Alugado,Não,Não,860.0,900,Não,Não
717,Próprio-Já Pago,Sim,Sim,1100.0,+1000,Sim,Sim
718,Próprio-Já Pago,Não,Sim,3333.0,+1000,Sim,Não
720,Alugado,Não,Sim,0.0,100,Sim,Não
721,Alugado,Não,Sim,600.0,700,Sim,Não
722,Próprio-Já Pago,Não,Sim,975.0,1000,Sim,Não
724,Próprio-Já Pago,Sim,Sim,4650.0,+1000,Sim,Sim
726,Próprio-Já Pago,Sim,Sim,7980.0,+1000,Sim,Sim
730,Alugado,Não,Sim,400.0,500,Sim,Não
733,Próprio-Já Pago,Não,Sim,1300.0,+1000,Sim,Não
738,Cedido de outra forma,Não,Não,500.0,600,Não,Não
740,Próprio-Já Pago,Não,Não,2125.0,+1000,Não,Não
744,Próprio-Já Pago,Não,Não,451.0,500,Não,Não
745,Próprio-Já Pago,Não,Sim,600.0,700,Sim,Não
749,Próprio-Já Pago,Sim,Sim,2066.0,+1000,Sim,Sim
751,Alugado,Não,Não,929.0,1000,Não,Não
753,Próprio-Já Pago,Sim,Sim,4028.0,+1000,Sim,Sim
754,Alugado,Não,Sim,3500.0,+1000,Sim,Não
760,Próprio-Já Pago,Sim,Sim,3650.0,+1000,Sim,Sim
761,Próprio-Já Pago,Não,Sim,732.0,800,Sim,Não
764,Alugado,Não,Sim,3450.0,+1000,Sim,Não
765,Próprio-Já Pago,Não,Sim,362.0,400,Sim,Não
771,Próprio-Já Pago,Sim,Sim,1300.0,+1000,Sim,Sim
775,Próprio-Já Pago,Não,Sim,1534.0,+1000,Sim,Não
778,Próprio-Já Pago,Não,Sim,262.0,300,Sim,Não
781,Alugado,Não,Não,733.0,800,Não,Não
782,Alugado,Não,Não,1400.0,+1000,Não,Não
783,Próprio-Já Pago,Não,Sim,1338.0,+1000,Sim,Não
784,Cedido de outra forma,Não,Não,900.0,1000,Não,Não
788,Próprio-Já Pago,Não,Sim,592.0,600,Sim,Não
789,Próprio-Já Pago,Não,Não,1050.0,+1000,Não,Não
790,Próprio-Já Pago,Não,Não,397.0,400,Não,Não
796,Próprio-Já Pago,Sim,Sim,2216.0,+1000,Sim,Sim
797,Próprio-Já Pago,Sim,Sim,2780.0,+1000,Sim,Sim
798,Próprio-Já Pago,Não,Sim,929.0,1000,Sim,Não
799,Próprio-Já Pago,Não,Sim,964.0,1000,Sim,Não
800,Próprio-Já Pago,Sim,Sim,5800.0,+1000,Sim,Sim
805,Próprio-Já Pago,Não,Sim,1233.0,+1000,Sim,Não
806,Próprio-Já Pago,Sim,Sim,1454.0,+1000,Sim,Sim
807,Próprio-Já Pago,Não,Não,394.0,400,Não,Não
808,Próprio-Já Pago,Não,Não,290.0,300,Não,Não
811,Alugado,Não,Sim,1350.0,+1000,Sim,Não
815,Próprio-Já Pago,Sim,Sim,528.0,600,Sim,Sim
818,Alugado,Não,Sim,275.0,300,Sim,Não
820,Alugado,Não,Não,400.0,500,Não,Não
822,Próprio-Já Pago,Não,Sim,562.0,600,Sim,Não
826,Próprio-Já Pago,Não,Não,788.0,800,Não,Não
828,Próprio-Já Pago,Não,Sim,2935.0,+1000,Sim,Não
830,Próprio-Já Pago,Não,Sim,929.0,1000,Sim,Não
831,Próprio-Já Pago,Não,Não,276.0,300,Não,Não
836,Próprio-Já Pago,Não,Sim,1250.0,+1000,Sim,Não
839,Próprio-Já Pago,Não,Sim,357.0,400,Sim,Não
846,Próprio-Já Pago,Não,Não,732.0,800,Não,Não
849,Próprio-Já Pago,Não,Não,1288.0,+1000,Não,Não
853,Próprio-Já Pago,Não,Não,788.0,800,Não,Não
857,Próprio-Já Pago,Não,Não,1325.0,+1000,Não,Não
858,Próprio-Já Pago,Não,Sim,550.0,600,Sim,Não
859,Cedido de outra forma,Não,Não,622.0,700,Não,Não
861,Próprio-Já Pago,Não,Não,164.0,200,Não,Não
862,Próprio-Já Pago,Não,Sim,583.0,600,Sim,Não
866,Próprio-Ainda Pagando,Não,Não,200.0,300,Não,Não
867,Próprio-Ainda Pagando,Não,Não,273.0,300,Não,Não
869,Próprio-Já Pago,Não,Não,342.0,400,Não,Não
873,Próprio-Ainda Pagando,Não,Sim,300.0,400,Sim,Não
874,Próprio-Já Pago,Não,Não,50.0,100,Não,Não
876,Próprio-Já Pago,Não,Sim,500.0,600,Sim,Não
878,Próprio-Já Pago,Não,Não,750.0,800,Não,Não
883,Próprio-Já Pago,Não,Não,200.0,300,Não,Não
885,Próprio-Já Pago,Não,Sim,398.0,400,Sim,Não
888,Alugado,Não,Não,485.0,500,Não,Não
893,Alugado,Não,Não,1708.0,+1000,Não,Não
894,Próprio-Já Pago,Não,Não,558.0,600,Não,Não
897,Alugado,Não,Não,1750.0,+1000,Não,Não
901,Alugado,Não,Sim,4800.0,+1000,Sim,Não
904,Próprio-Já Pago,Não,Sim,2600.0,+1000,Sim,Não
909,Alugado,Não,Sim,286.0,300,Sim,Não
910,Próprio-Já Pago,Sim,Sim,2033.0,+1000,Sim,Sim
911,Alugado,Não,Não,758.0,800,Não,Não
912,Próprio-Já Pago,Não,Sim,500.0,600,Sim,Não
914,Próprio-Já Pago,Não,Sim,556.0,600,Sim,Não
931,Alugado,Não,Sim,1300.0,+1000,Sim,Não
933,Próprio-Já Pago,Não,Sim,856.0,900,Sim,Não
936,Próprio-Já Pago,Não,Não,366.0,400,Não,Não
938,Próprio-Já Pago,Não,Não,1250.0,+1000,Não,Não
939,Alugado,Sim,Sim,45000.0,+1000,Sim,Sim
940,Próprio-Já Pago,Não,Não,240.0,300,Não,Não
951,Próprio-Ainda Pagando,Não,Sim,3700.0,+1000,Sim,Não
952,Cedido por Empregador,Sim,Sim,1750.0,+1000,Sim,Sim
953,Próprio-Ainda Pagando,Não,Sim,1472.0,+1000,Sim,Não
986,Próprio-Já Pago,Sim,Não,1333.0,+1000,Não,Sim
989,Próprio-Já Pago,Sim,Sim,778.0,800,Sim,Sim
990,Próprio-Já Pago,Sim,Sim,700.0,800,Sim,Sim
991,Alugado,Não,Não,1666.0,+1000,Não,Não
992,Próprio-Já Pago,Não,Não,1200.0,+1000,Não,Não
993,Próprio-Já Pago,Não,Sim,3000.0,+1000,Sim,Não
997,Próprio-Já Pago,Sim,Sim,1894.0,+1000,Sim,Sim
998,Alugado,Não,Sim,300.0,400,Sim,Não
999,Próprio-Já Pago,Sim,Não,800.0,900,Não,Sim
1000,Próprio-Já Pago,Não,Sim,925.0,1000,Sim,Não
1002,Próprio-Já Pago,Não,Sim,1300.0,+1000,Sim,Não
1004,Próprio-Já Pago,Não,Sim,660.0,700,Sim,Não
1005,Cedido de outra forma,Não,Sim,1300.0,+1000,Sim,Não
1006,Próprio-Ainda Pagando,Sim,Sim,930.0,1000,Sim,Sim
1007,Próprio-Já Pago,Sim,Sim,1866.0,+1000,Sim,Sim
1012,Próprio-Já Pago,Sim,Não,1250.0,+1000,Não,Sim
1013,Próprio-Já Pago,Não,Não,800.0,900,Não,Não
1018,Próprio-Já Pago,Não,Não,808.0,900,Não,Não
1019,Próprio-Já Pago,Sim,Não,625.0,700,Não,Sim
1023,Alugado,Não,Não,1500.0,+1000,Não,Não
1024,Próprio-Já Pago,Não,Sim,920.0,1000,Sim,Não
1030,Próprio-Já Pago,Não,Não,1447.0,+1000,Não,Não
1033,Próprio-Já Pago,Não,Sim,750.0,800,Sim,Não
1034,Próprio-Já Pago,Não,Não,437.0,500,Não,Não
1038,Próprio-Já Pago,Não,Não,825.0,900,Não,Não
1047,Próprio-Já Pago,Não,Não,3191.0,+1000,Não,Não
1053,Próprio-Já Pago,Não,Sim,400.0,500,Sim,Não
1055,Próprio-Já Pago,Não,Sim,1600.0,+1000,Sim,Não
1060,Próprio-Já Pago,Não,Sim,830.0,900,Sim,Não
1061,Próprio-Já Pago,Não,Sim,828.0,900,Sim,Não
1063,Próprio-Já Pago,Não,Sim,1175.0,+1000,Sim,Não
1064,Próprio-Já Pago,Não,Sim,300.0,400,Sim,Não
1067,Próprio-Já Pago,Não,Sim,1200.0,+1000,Sim,Não
1069,Próprio-Já Pago,Não,Sim,1100.0,+1000,Sim,Não
1070,Próprio-Já Pago,Não,Sim,1460.0,+1000,Sim,Não
1071,Próprio-Já Pago,Não,Não,999999999999.0,+1000,Não,Não
1072,Próprio-Já Pago,Não,Sim,2697.0,+1000,Sim,Não
1074,Próprio-Já Pago,Sim,Não,1333.0,+1000,Não,Sim
1076,Próprio-Já Pago,Não,Sim,629.0,700,Sim,Não
1077,Alugado,Não,Sim,6000.0,+1000,Sim,Não
1078,Próprio-Já Pago,Não,Não,866.0,900,Não,Não
1080,Alugado,Não,Não,650.0,700,Não,Não
1081,Próprio-Já Pago,Não,Sim,657.0,700,Sim,Não
1082,Próprio-Já Pago,Sim,Não,675.0,700,Não,Sim
1083,Próprio-Já Pago,Não,Sim,763.0,800,Sim,Não
1084,Próprio-Já Pago,Não,Não,4000.0,+1000,Não,Não
1086,Próprio-Já Pago,Sim,Sim,1100.0,+1000,Sim,Sim
1089,Próprio-Já Pago,Não,Não,584.0,600,Não,Não
1091,Próprio-Já Pago,Não,Não,1388.0,+1000,Não,Não
1092,Próprio-Já Pago,Não,Sim,113.0,200,Sim,Não
1097,Alugado,Não,Não,934.0,1000,Não,Não
1100,Alugado,Não,Não,262.0,300,Não,Não
1103,Próprio-Já Pago,Não,Sim,1715.0,+1000,Sim,Não
1104,Próprio-Já Pago,Não,Sim,325.0,400,Sim,Não
1106,Próprio-Já Pago,Não,Sim,800.0,900,Sim,Não
1108,Próprio-Já Pago,Não,Não,462.0,500,Não,Não
1109,Próprio-Já Pago,Não,Não,433.0,500,Não,Não
1113,Próprio-Já Pago,Não,Sim,303.0,400,Sim,Não
1114,Próprio-Já Pago,Não,Sim,1050.0,+1000,Sim,Não
1116,Próprio-Já Pago,Não,Sim,3500.0,+1000,Sim,Não
1120,Próprio-Já Pago,Não,Não,878.0,900,Não,Não
1123,Próprio-Já Pago,Não,Sim,2300.0,+1000,Sim,Não
1127,Próprio-Já Pago,Não,Sim,594.0,600,Sim,Não
1145,Próprio-Já Pago,Não,Sim,300.0,400,Sim,Não
1149,Próprio-Já Pago,Não,Não,515.0,600,Não,Não
1153,Próprio-Já Pago,Não,Não,366.0,400,Não,Não
1155,Próprio-Já Pago,Não,Não,325.0,400,Não,Não
1156,Próprio-Já Pago,Não,Não,2000.0,+1000,Não,Não
1157,Alugado,Não,Não,566.0,600,Não,Não
1158,Próprio-Já Pago,Não,Não,461.0,500,Não,Não
1160,Próprio-Já Pago,Não,Não,788.0,800,Não,Não
1161,Próprio-Já Pago,Não,Sim,2000.0,+1000,Sim,Não
1165,Próprio-Já Pago,Sim,Sim,822.0,900,Sim,Sim
1166,Próprio-Já Pago,Não,Sim,630.0,700,Sim,Não
1167,Próprio-Já Pago,Não,Não,757.0,800,Não,Não
1168,Cedido de outra forma,Não,Não,427.0,500,Não,Não
1169,Cedido de outra forma,Não,Sim,440.0,500,Sim,Não
1170,Próprio-Já Pago,Não,Não,1566.0,+1000,Não,Não
1171,Próprio-Já Pago,Não,Não,1100.0,+1000,Não,Não
1172,Próprio-Já Pago,Não,Não,2450.0,+1000,Não,Não
1175,Alugado,Não,Sim,916.0,1000,Sim,Não
1176,Próprio-Já Pago,Não,Sim,1400.0,+1000,Sim,Não
1177,Próprio-Já Pago,Não,Não,2800.0,+1000,Não,Não
1179,Próprio-Já Pago,Não,Sim,1000.0,+1000,Sim,Não
1181,Próprio-Já Pago,Não,Sim,633.0,700,Sim,Não
1206,Próprio-Já Pago,Não,Não,1525.0,+1000,Não,Não
1209,Cedido de outra forma,Não,Sim,600.0,700,Sim,Não
1217,Alugado,Não,Não,2000.0,+1000,Não,Não
1219,Alugado,Sim,Sim,1400.0,+1000,Sim,Sim
1223,Próprio-Já Pago,Sim,Não,890.0,900,Não,Sim
1224,Próprio-Já Pago,Sim,Não,390.0,400,Não,Sim
1229,Alugado,Não,Não,400.0,500,Não,Não
1230,Próprio-Já Pago,Sim,Sim,973.0,1000,Sim,Sim
1235,Próprio-Já Pago,Sim,Sim,850.0,900,Sim,Sim
1236,Próprio-Já Pago,Sim,Sim,1966.0,+1000,Sim,Sim
1237,Próprio-Já Pago,Sim,Sim,1300.0,+1000,Sim,Sim
1238,Alugado,Não,Não,1600.0,+1000,Não,Não
1241,Alugado,Não,Não,1500.0,+1000,Não,Não
1242,Alugado,Não,Não,2000.0,+1000,Não,Não
1243,Próprio-Já Pago,Não,Sim,920.0,1000,Sim,Não
1244,Alugado,Não,Não,1000.0,+1000,Não,Não
