,V0207,V2020,V02426,V4621,faixas,Internet_Banda_Larga,Telefone_fixo
12424,Próprio-Já Pago,Não,Não,300.0,400,Não,Não
12426,Próprio-Já Pago,Não,Não,344.0,400,Não,Não
12427,Próprio-Já Pago,Não,Não,1250.0,+1000,Não,Não
12429,Próprio-Já Pago,Não,Não,385.0,400,Não,Não
12432,Próprio-Já Pago,Sim,Sim,560.0,600,Sim,Sim
12437,Próprio-Já Pago,Não,Sim,394.0,400,Sim,Não
12440,Próprio-Já Pago,Sim,Sim,1680.0,+1000,Sim,Sim
12441,Próprio-Já Pago,Sim,Sim,1088.0,+1000,Sim,Sim
12443,Próprio-Já Pago,Não,Sim,596.0,600,Sim,Não
12444,Próprio-Já Pago,Sim,Sim,2700.0,+1000,Sim,Sim
12446,Próprio-Já Pago,Não,Sim,4729.0,+1000,Sim,Não
12447,Próprio-Já Pago,Sim,Não,955.0,1000,Não,Sim
12448,Próprio-Já Pago,Sim,Sim,788.0,800,Sim,Sim
12451,Próprio-Já Pago,Não,Não,250.0,300,Não,Não
12453,Próprio-Já Pago,Sim,Sim,715.0,800,Sim,Sim
12454,Próprio-Já Pago,Sim,Sim,1214.0,+1000,Sim,Sim
12456,Próprio-Já Pago,Não,Não,1929.0,+1000,Não,Não
12457,Alugado,Sim,Não,65.0,100,Não,Sim
12459,Alugado,Não,Sim,1182.0,+1000,Sim,Não
12462,Próprio-Já Pago,Não,Não,650.0,700,Não,Não
12463,Próprio-Já Pago,Não,Não,300.0,400,Não,Não
12466,Próprio-Já Pago,Sim,Sim,2084.0,+1000,Sim,Sim
12467,Próprio-Já Pago,Não,Sim,800.0,900,Sim,Não
12468,Próprio-Já Pago,Sim,Sim,2633.0,+1000,Sim,Sim
12470,Próprio-Já Pago,Sim,Sim,1500.0,+1000,Sim,Sim
12471,Próprio-Já Pago,Sim,Sim,4947.0,+1000,Sim,Sim
12472,Alugado,Sim,Sim,6500.0,+1000,Sim,Sim
12473,Próprio-Já Pago,Sim,Sim,2000.0,+1000,Sim,Sim
12474,Próprio-Ainda Pagando,Sim,Sim,5500.0,+1000,Sim,Sim
12475,Próprio-Ainda Pagando,Sim,Sim,4250.0,+1000,Sim,Sim
12476,Alugado,Não,Sim,1925.0,+1000,Sim,Não
12477,Alugado,Não,Sim,2600.0,+1000,Sim,Não
12479,Próprio-Já Pago,Sim,Sim,9500.0,+1000,Sim,Sim
12480,Alugado,Sim,Sim,3200.0,+1000,Sim,Sim
12485,Próprio-Já Pago,Sim,Sim,999999999999.0,+1000,Sim,Sim
12488,Próprio-Já Pago,Não,Sim,2157.0,+1000,Sim,Não
12489,Próprio-Já Pago,Sim,Sim,822.0,900,Sim,Sim
12491,Próprio-Já Pago,Não,Não,252.0,300,Não,Não
12492,Próprio-Já Pago,Não,Não,378.0,400,Não,Não
12495,Próprio-Já Pago,Não,Não,644.0,700,Não,Não
12498,Próprio-Já Pago,Não,Não,788.0,800,Não,Não
12501,Alugado,Não,Não,430.0,500,Não,Não
12502,Próprio-Já Pago,Sim,Sim,3560.0,+1000,Sim,Sim
12503,Próprio-Já Pago,Não,Não,513.0,600,Não,Não
12505,Próprio-Já Pago,Sim,Sim,5500.0,+1000,Sim,Sim
12506,Próprio-Já Pago,Não,Não,999999999999.0,+1000,Não,Não
12507,Próprio-Já Pago,Não,Sim,4000.0,+1000,Sim,Não
12513,Próprio-Já Pago,Sim,Sim,762.0,800,Sim,Sim
12516,Próprio-Já Pago,Não,Sim,525.0,600,Sim,Não
12517,Próprio-Já Pago,Não,Sim,294.0,300,Sim,Não
12523,Próprio-Já Pago,Não,Não,283.0,300,Não,Não
12526,Próprio-Já Pago,Não,Não,890.0,900,Não,Não
12527,Alugado,Não,Não,584.0,600,Não,Não
12528,Próprio-Já Pago,Não,Não,700.0,800,Não,Não
12531,Próprio-Já Pago,Não,Não,666.0,700,Não,Não
12533,Próprio-Já Pago,Não,Não,466.0,500,Não,Não
12534,Próprio-Já Pago,Não,Não,900.0,1000,Não,Não
12535,Próprio-Já Pago,Não,Não,750.0,800,Não,Não
12536,Próprio-Já Pago,Não,Não,135.0,200,Não,Não
12538,Próprio-Já Pago,Não,Não,525.0,600,Não,Não
12539,Próprio-Já Pago,Não,Não,966.0,1000,Não,Não
12540,Próprio-Já Pago,Não,Sim,983.0,1000,Sim,Não
12545,Próprio-Já Pago,Não,Não,350.0,400,Não,Não
12547,Alugado,Não,Não,686.0,700,Não,Não
12552,Próprio-Já Pago,Não,Sim,866.0,900,Sim,Não
12554,Alugado,Não,Sim,2433.0,+1000,Sim,Não
12555,Próprio-Já Pago,Não,Não,300.0,400,Não,Não
12556,Próprio-Já Pago,Sim,Sim,1280.0,+1000,Sim,Sim
12557,Próprio-Já Pago,Não,Sim,912.0,1000,Sim,Não
12558,Próprio-Já Pago,Não,Não,245.0,300,Não,Não
